,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.545474,-0.000000,0.000000
C1-2,48.161898,-0.000000,0.000000
C1-3,47.967674,-0.000000,0.000000
C1-4,47.845271,-0.000000,0.000000
C1-5,47.802702,-0.000000,0.000000
C1-6,47.809178,-0.000000,0.000000
C1-7,47.975896,-0.000000,0.000000
C1-8,33.146700,-0.000000,0.000000
C1-9,33.362761,-0.000000,0.000000
C1-10,-24.096248,-0.000000,0.000000
C1-11,51.020886,-0.000000,0.000000
C1-12,36.619152,-0.000000,0.000000
C1-13,37.468013,-0.000000,0.000000
C1-14,29.973857,-0.000000,0.000000
C1-15,25.820862,-0.000000,0.000000
C1-16,28.147181,-0.000000,0.000000
C1-17,42.712729,-0.000000,0.000000
C1-18,36.585184,-0.000000,0.000000
C1-19,52.190995,-0.000000,0.000000
C1-20,51.833925,-0.000000,0.000000
C1-21,48.610441,-0.000000,0.000000
C1-22,42.727725,-0.000000,0.000000
C1-23,29.835347,-0.000000,0.000000
C1-24,33.329922,-0.000000,0.000000
C2-1,-130.593386,-0.000000,0.000000
C2-2,-129.196912,-0.000000,0.000000
C2-3,-128.540011,-0.000000,0.000000
C2-4,-127.987284,-0.000000,0.000000
C2-5,-127.920675,-0.000000,0.000000
C2-6,-127.914390,-0.000000,0.000000
C2-7,-128.520041,-0.000000,0.000000
C2-8,-94.188785,-0.000000,0.000000
C2-9,-93.031112,-0.000000,0.000000
C2-10,20.727203,-0.000000,0.000000
C2-11,-118.040674,-0.000000,0.000000
C2-12,-103.101518,-0.000000,0.000000
C2-13,-90.296655,-0.000000,0.000000
C2-14,-80.907319,-0.000000,0.000000
C2-15,-70.746674,-0.000000,0.000000
C2-16,-77.283723,-0.000000,0.000000
C2-17,-111.204080,-0.000000,0.000000
C2-18,-104.272765,-0.000000,0.000000
C2-19,-137.177194,-0.000000,0.000000
C2-20,-135.290040,-0.000000,0.000000
C2-21,-123.898173,-0.000000,0.000000
C2-22,-110.041722,-0.000000,0.000000
C2-23,-83.841615,-0.000000,0.000000
C2-24,-94.014642,-0.000000,0.000000
C3-1,36.538263,-0.000000,0.000000
C3-2,37.216601,-0.000000,0.000000
C3-3,37.591003,-0.000000,0.000000
C3-4,37.741507,-0.000000,0.000000
C3-5,37.871216,-0.000000,0.000000
C3-6,37.841371,-0.000000,0.000000
C3-7,37.545726,-0.000000,0.000000
C3-8,18.197415,-0.000000,0.000000
C3-9,14.961612,-0.000000,0.000000
C3-10,-43.251012,-0.000000,0.000000
C3-11,18.879326,-0.000000,0.000000
C3-12,17.487745,-0.000000,0.000000
C3-13,3.475272,-0.000000,0.000000
C3-14,1.340927,-0.000000,0.000000
